Age,Age_Group,Attrition,Attrition_Flag,Department,JobRole,JobLevel,BusinessTravel,Gender,MaritalStatus,EducationField,Education,MonthlyIncome,Income_Band,PercentSalaryHike,StockOptionLevel,JobSatisfaction,JobSatisfaction_Label,EnvironmentSatisfaction,RelationshipSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,DistanceFromHome,YearsAtCompany,Tenure_Group,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TotalWorkingYears,NumCompaniesWorked,PerformanceRating,TrainingTimesLastYear
24,1. Under 25,Yes,1,Research & Development,Research Scientist,1,Travel_Rarely,Male,Married,Medical,3,2293,1. Under $3K,16,1,4,4 - Very High,2,1,3,2,Yes,1,2,2. 1-3 Years,0,2,0,6,2,3,2
43,3. Age 35-44,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Female,Divorced,Medical,2,2645,1. Under $3K,12,2,3,3 - High,4,4,4,2,No,2,5,3. 3-5 Years,3,1,4,6,1,3,3
50,4. Age 45-54,Yes,1,Sales,Sales Representative,1,Travel_Rarely,Male,Married,Marketing,2,2683,1. Under $3K,14,0,3,3 - High,1,3,2,3,Yes,3,3,2. 1-3 Years,2,0,2,3,1,3,2
35,3. Age 35-44,No,0,Sales,Sales Representative,1,Travel_Rarely,Female,Married,Marketing,3,2014,1. Under $3K,13,0,4,4 - Very High,4,1,3,3,No,2,2,2. 1-3 Years,2,2,2,2,1,3,3
36,3. Age 35-44,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Female,Married,Life Sciences,4,3419,2. $3K-$6K,14,1,1,1 - Low,2,4,2,4,Yes,5,1,1. 0-1 Years,1,0,0,6,9,3,3
33,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Frequently,Female,Married,Life Sciences,3,5376,2. $3K-$6K,19,2,1,1 - Low,3,1,4,3,No,1,5,3. 3-5 Years,3,1,3,10,2,3,3
35,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Divorced,Other,2,1951,1. Under $3K,12,1,4,4 - Very High,3,3,3,3,No,4,1,1. 0-1 Years,0,0,0,1,1,3,3
27,2. Age 25-34,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Divorced,Life Sciences,4,2341,1. Under $3K,13,1,1,1 - Low,4,4,3,3,No,2,1,1. 0-1 Years,0,0,0,1,1,3,6
26,2. Age 25-34,Yes,1,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Single,Life Sciences,3,2293,1. Under $3K,12,0,3,3 - High,1,3,1,2,No,25,1,1. 0-1 Years,0,0,1,1,1,3,2
27,2. Age 25-34,No,0,Sales,Sales Executive,3,Travel_Frequently,Male,Single,Life Sciences,3,8726,3. $6K-$10K,15,0,3,3 - High,4,4,3,3,No,8,9,4. 5-10 Years,8,1,7,9,1,3,0
30,2. Age 25-34,No,0,Research & Development,Laboratory Technician,2,Travel_Frequently,Female,Single,Medical,2,4011,2. $3K-$6K,23,0,4,4 - Very High,3,4,3,3,No,1,12,5. 10+ Years,8,3,7,12,1,4,2
41,3. Age 35-44,Yes,1,Research & Development,Research Director,5,Travel_Rarely,Female,Married,Technical Degree,3,19545,4. Above $10K,12,0,3,3 - High,2,4,3,3,No,12,22,5. 10+ Years,15,15,8,23,1,3,0
34,2. Age 25-34,No,0,Sales,Sales Executive,2,Non-Travel,Male,Single,Marketing,4,4568,2. $3K-$6K,20,0,3,3 - High,2,3,3,3,No,23,9,4. 5-10 Years,5,8,7,10,0,4,2
37,3. Age 35-44,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Married,Life Sciences,2,3022,2. $3K-$6K,21,0,2,2 - Medium,2,1,3,3,No,19,1,1. 0-1 Years,0,0,0,8,4,4,1
46,4. Age 45-54,No,0,Sales,Sales Executive,2,Travel_Frequently,Male,Single,Marketing,4,5772,2. $3K-$6K,21,0,4,4 - Very High,1,3,3,3,Yes,5,9,4. 5-10 Years,6,0,8,14,4,4,4
35,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Married,Life Sciences,1,2269,1. Under $3K,19,0,4,4 - Very High,4,4,4,3,No,8,1,1. 0-1 Years,0,0,1,1,1,3,2
48,4. Age 45-54,Yes,1,Research & Development,Laboratory Technician,3,Travel_Rarely,Male,Single,Life Sciences,2,5381,2. $3K-$6K,13,0,3,3 - High,1,4,2,3,Yes,1,1,1. 0-1 Years,0,0,0,23,9,3,2
28,2. Age 25-34,Yes,1,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Single,Technical Degree,4,3441,2. $3K-$6K,13,0,3,3 - High,3,3,3,2,Yes,5,2,2. 1-3 Years,2,2,2,2,1,3,3
44,3. Age 35-44,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Divorced,Marketing,5,5454,2. $3K-$6K,21,1,1,1 - Low,2,3,3,2,Yes,1,4,3. 3-5 Years,3,1,3,9,5,4,2
35,3. Age 35-44,No,0,Research & Development,Healthcare Representative,3,Non-Travel,Male,Married,Medical,2,9884,3. $6K-$10K,13,1,1,1 - Low,3,3,2,3,Yes,11,4,3. 3-5 Years,0,2,3,10,2,3,3
26,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Married,Marketing,3,4157,2. $3K-$6K,19,1,4,4 - Very High,3,3,2,2,Yes,23,2,2. 1-3 Years,2,0,0,5,7,3,2
33,2. Age 25-34,No,0,Research & Development,Research Director,3,Travel_Frequently,Female,Single,Life Sciences,2,13458,4. Above $10K,12,0,4,4 - Very High,1,3,3,3,Yes,1,15,5. 10+ Years,14,8,12,15,1,3,1
35,3. Age 35-44,No,0,Sales,Sales Executive,3,Travel_Frequently,Male,Married,Life Sciences,5,9069,3. $6K-$10K,22,1,1,1 - Low,2,4,3,2,No,18,9,4. 5-10 Years,8,1,8,9,1,4,3
35,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Married,Medical,4,4014,2. $3K-$6K,15,1,1,1 - Low,3,3,3,3,Yes,23,2,2. 1-3 Years,2,2,2,4,3,3,3
31,2. Age 25-34,No,0,Research & Development,Laboratory Technician,2,Travel_Rarely,Male,Divorced,Life Sciences,4,5915,2. $3K-$6K,22,1,4,4 - Very High,4,4,3,2,No,7,7,4. 5-10 Years,7,1,7,10,3,4,3
37,3. Age 35-44,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Male,Divorced,Life Sciences,4,5993,2. $3K-$6K,18,1,3,3 - High,1,3,2,4,No,1,7,4. 5-10 Years,5,0,7,7,1,3,2
32,2. Age 25-34,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Male,Married,Medical,3,6162,3. $6K-$10K,22,1,4,4 - Very High,1,2,3,3,Yes,1,9,4. 5-10 Years,8,7,8,9,1,4,3
38,3. Age 35-44,No,0,Research & Development,Laboratory Technician,2,Travel_Frequently,Female,Single,Life Sciences,5,2406,1. Under $3K,11,0,4,4 - Very High,4,4,3,3,No,29,10,4. 5-10 Years,3,9,9,10,1,3,2
50,4. Age 45-54,No,0,Research & Development,Research Director,5,Travel_Rarely,Female,Divorced,Medical,2,18740,4. Above $10K,12,1,3,3 - High,2,4,2,2,Yes,7,27,5. 10+ Years,3,13,8,29,5,3,2
59,5. Age 55+,No,0,Sales,Sales Executive,3,Travel_Rarely,Female,Single,Life Sciences,3,7637,3. $6K-$10K,11,0,1,1 - Low,1,4,3,2,No,25,21,5. 10+ Years,16,7,9,28,7,3,3
36,3. Age 35-44,No,0,Research & Development,Healthcare Representative,3,Travel_Rarely,Female,Divorced,Technical Degree,3,10096,4. Above $10K,13,3,3,3 - High,3,2,3,3,No,8,17,5. 10+ Years,14,12,8,17,1,3,2
55,5. Age 55+,No,0,Research & Development,Manager,4,Travel_Rarely,Female,Divorced,Medical,3,14756,4. Above $10K,14,3,3,3 - High,4,3,3,3,Yes,8,5,3. 3-5 Years,0,0,2,21,2,3,2
36,3. Age 35-44,No,0,Research & Development,Manufacturing Director,2,Travel_Frequently,Male,Single,Life Sciences,3,6499,3. $6K-$10K,13,0,2,2 - Medium,2,3,2,3,No,11,6,4. 5-10 Years,5,0,3,6,1,3,3
45,4. Age 45-54,No,0,Research & Development,Research Scientist,3,Travel_Rarely,Male,Divorced,Life Sciences,3,9724,3. $6K-$10K,17,1,1,1 - Low,2,3,3,3,No,7,1,1. 0-1 Years,0,0,0,25,2,3,2
35,3. Age 35-44,No,0,Research & Development,Research Scientist,1,Travel_Frequently,Male,Married,Medical,3,2194,1. Under $3K,13,1,1,1 - Low,2,4,3,2,No,1,3,2. 1-3 Years,2,1,2,5,4,3,2
36,3. Age 35-44,Yes,1,Research & Development,Research Scientist,1,Travel_Rarely,Male,Married,Medical,3,3388,2. $3K-$6K,17,1,3,3 - High,4,1,2,2,Yes,9,1,1. 0-1 Years,0,0,0,2,0,3,0
59,5. Age 55+,No,0,Sales,Sales Executive,2,Travel_Frequently,Female,Single,Life Sciences,1,5473,2. $3K-$6K,11,0,3,3 - High,1,4,2,2,No,1,4,3. 3-5 Years,3,1,3,20,7,3,2
29,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Married,Life Sciences,3,2703,1. Under $3K,23,1,2,2 - Medium,3,4,3,3,No,2,5,3. 3-5 Years,4,0,4,6,0,4,3
31,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Single,Medical,4,2501,1. Under $3K,17,0,2,2 - Medium,3,2,3,3,No,1,1,1. 0-1 Years,1,1,0,1,1,3,4
32,2. Age 25-34,No,0,Research & Development,Research Scientist,2,Travel_Rarely,Male,Married,Life Sciences,3,6220,3. $6K-$10K,17,2,2,2 - Medium,2,2,3,3,No,1,10,4. 5-10 Years,4,0,9,10,1,3,3
36,3. Age 35-44,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Married,Life Sciences,3,3038,2. $3K-$6K,12,0,4,4 - Very High,2,2,4,3,No,6,1,1. 0-1 Years,0,0,0,5,3,3,3
31,2. Age 25-34,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Female,Single,Life Sciences,4,4424,2. $3K-$6K,23,0,4,4 - Very High,3,4,3,3,No,8,11,5. 10+ Years,7,1,8,11,1,4,2
35,3. Age 35-44,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Single,Marketing,4,4312,2. $3K-$6K,14,0,1,1 - Low,3,2,2,3,No,1,15,5. 10+ Years,13,2,8,16,0,3,2
45,4. Age 45-54,No,0,Research & Development,Research Director,3,Travel_Rarely,Male,Married,Other,4,13245,4. Above $10K,14,0,1,1 - Low,4,2,3,4,Yes,6,0,1. 0-1 Years,0,0,0,17,4,3,3
37,3. Age 35-44,No,0,Research & Development,Research Director,3,Travel_Rarely,Male,Single,Medical,4,13664,4. Above $10K,13,0,3,3 - High,1,1,3,4,No,7,5,3. 3-5 Years,2,0,2,16,4,3,3
46,4. Age 45-54,No,0,Human Resources,Human Resources,2,Travel_Rarely,Male,Divorced,Medical,2,5021,2. $3K-$6K,22,1,2,2 - Medium,2,4,3,3,Yes,5,4,3. 3-5 Years,2,0,2,16,8,4,2
30,2. Age 25-34,No,0,Research & Development,Laboratory Technician,2,Travel_Rarely,Male,Married,Life Sciences,1,5126,2. $3K-$6K,12,2,4,4 - Very High,4,3,2,2,Yes,1,10,4. 5-10 Years,8,3,0,10,1,3,1
35,3. Age 35-44,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Single,Medical,3,2859,1. Under $3K,18,0,3,3 - High,2,1,2,3,No,1,6,4. 5-10 Years,4,0,4,6,1,3,3
55,5. Age 55+,No,0,Sales,Sales Executive,3,Travel_Rarely,Male,Married,Life Sciences,2,10239,4. Above $10K,14,1,4,4 - Very High,1,4,3,3,No,1,1,1. 0-1 Years,0,1,0,24,3,3,4
38,3. Age 35-44,No,0,Research & Development,Research Scientist,2,Non-Travel,Female,Divorced,Medical,3,5329,2. $3K-$6K,12,3,4,4 - Very High,2,4,1,3,Yes,6,13,5. 10+ Years,11,1,9,17,7,3,3
34,2. Age 25-34,No,0,Research & Development,Manufacturing Director,2,Travel_Rarely,Male,Married,Medical,2,4325,2. $3K-$6K,15,0,2,2 - Medium,1,3,3,3,No,1,5,3. 3-5 Years,2,1,3,5,1,3,2
56,5. Age 55+,No,0,Research & Development,Manufacturing Director,3,Travel_Rarely,Male,Single,Life Sciences,3,7260,3. $6K-$10K,11,0,4,4 - Very High,4,1,1,2,No,7,6,4. 5-10 Years,4,0,2,37,4,3,3
23,1. Under 25,No,0,Sales,Sales Representative,1,Travel_Rarely,Male,Divorced,Technical Degree,1,2322,1. Under $3K,13,1,1,1 - Low,3,3,3,3,No,2,0,1. 0-1 Years,0,0,0,3,3,3,3
51,4. Age 45-54,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Married,Life Sciences,4,2075,1. Under $3K,23,2,4,4 - Very High,4,2,3,3,No,9,4,3. 3-5 Years,2,0,3,10,3,4,4
30,2. Age 25-34,No,0,Research & Development,Healthcare Representative,2,Travel_Rarely,Male,Married,Life Sciences,3,4152,2. $3K-$6K,19,3,4,4 - Very High,3,1,2,3,No,2,11,5. 10+ Years,10,10,8,11,1,3,3
46,4. Age 45-54,Yes,1,Sales,Sales Executive,3,Travel_Rarely,Male,Single,Medical,2,9619,3. $6K-$10K,16,0,4,4 - Very High,3,4,2,3,No,9,9,4. 5-10 Years,8,4,7,9,1,3,3
40,3. Age 35-44,No,0,Research & Development,Healthcare Representative,4,Travel_Frequently,Male,Married,Life Sciences,4,13503,4. Above $10K,22,1,2,2 - Medium,3,4,2,2,No,1,22,5. 10+ Years,3,11,11,22,1,4,3
51,4. Age 45-54,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Single,Marketing,4,5441,2. $3K-$6K,22,0,4,4 - Very High,3,4,3,1,Yes,21,10,4. 5-10 Years,7,1,0,11,0,4,2
30,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Divorced,Medical,2,5209,2. $3K-$6K,12,3,2,2 - Medium,3,2,2,2,Yes,4,11,5. 10+ Years,8,2,7,11,1,3,4
46,4. Age 45-54,No,0,Research & Development,Healthcare Representative,3,Travel_Frequently,Male,Married,Medical,3,10673,4. Above $10K,13,1,1,1 - Low,3,3,2,2,Yes,1,10,4. 5-10 Years,9,9,5,21,2,3,5
32,2. Age 25-34,No,0,Sales,Sales Executive,2,Travel_Rarely,Male,Single,Medical,4,5010,2. $3K-$6K,16,0,3,3 - High,2,1,3,3,No,6,11,5. 10+ Years,8,5,7,12,1,3,0
54,4. Age 45-54,No,0,Research & Development,Research Director,3,Travel_Rarely,Female,Married,Technical Degree,4,13549,4. Above $10K,12,1,3,3 - High,1,1,3,1,No,2,4,3. 3-5 Years,3,0,3,16,9,3,5
24,1. Under 25,No,0,Sales,Sales Executive,2,Travel_Rarely,Female,Married,Other,2,4999,2. $3K-$6K,21,1,3,3 - High,1,1,3,2,No,3,3,2. 1-3 Years,2,0,2,4,0,4,2
28,2. Age 25-34,No,0,Sales,Sales Executive,2,Non-Travel,Male,Married,Medical,3,4221,2. $3K-$6K,15,0,3,3 - High,2,2,3,4,No,4,5,3. 3-5 Years,4,0,4,5,1,3,3
58,5. Age 55+,No,0,Sales,Sales Executive,4,Travel_Rarely,Male,Single,Medical,4,13872,4. Above $10K,13,0,3,3 - High,4,3,3,2,No,10,37,5. 10+ Years,10,1,8,38,0,3,1
44,3. Age 35-44,No,0,Research & Development,Laboratory Technician,2,Non-Travel,Male,Married,Medical,3,2042,1. Under $3K,12,1,2,2 - Medium,2,3,3,4,No,23,3,2. 1-3 Years,2,1,2,17,4,3,3
37,3. Age 35-44,Yes,1,Human Resources,Human Resources,1,Travel_Rarely,Male,Divorced,Human Resources,4,2073,1. Under $3K,22,0,1,1 - Low,3,4,3,3,Yes,6,3,2. 1-3 Years,2,0,2,7,4,4,3
32,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Single,Life Sciences,1,2956,1. Under $3K,13,0,1,1 - Low,4,4,3,3,No,1,1,1. 0-1 Years,0,0,0,1,1,3,2
20,1. Under 25,Yes,1,Research & Development,Laboratory Technician,1,Travel_Frequently,Female,Single,Life Sciences,3,2926,1. Under $3K,18,0,4,4 - Very High,4,2,2,3,Yes,6,1,1. 0-1 Years,0,1,0,1,1,3,5
34,2. Age 25-34,No,0,Research & Development,Research Scientist,2,Travel_Rarely,Female,Single,Other,4,4809,2. $3K-$6K,14,0,3,3 - High,1,3,3,3,No,6,16,5. 10+ Years,13,2,10,16,1,3,3
37,3. Age 35-44,No,0,Research & Development,Healthcare Representative,2,Non-Travel,Male,Divorced,Life Sciences,2,5163,2. $3K-$6K,14,1,4,4 - Very High,3,4,2,4,No,2,1,1. 0-1 Years,0,0,0,17,5,3,2
59,5. Age 55+,No,0,Human Resources,Manager,5,Non-Travel,Female,Married,Human Resources,4,18844,4. Above $10K,21,1,4,4 - Very High,3,4,2,3,No,2,3,2. 1-3 Years,2,2,2,30,9,4,3
50,4. Age 45-54,No,0,Research & Development,Research Director,5,Travel_Frequently,Female,Married,Life Sciences,3,18172,4. Above $10K,19,0,2,2 - Medium,1,1,3,2,Yes,1,8,4. 5-10 Years,3,0,7,28,3,3,1
25,2. Age 25-34,Yes,1,Sales,Sales Executive,2,Travel_Rarely,Male,Single,Marketing,3,5744,2. $3K-$6K,11,0,3,3 - High,3,4,2,3,Yes,5,6,4. 5-10 Years,4,0,3,6,1,3,1
25,2. Age 25-34,No,0,Research & Development,Research Scientist,1,Travel_Rarely,Male,Married,Medical,1,2889,1. Under $3K,11,2,4,4 - Very High,4,3,2,3,No,7,2,2. 1-3 Years,2,2,1,2,1,3,2
22,1. Under 25,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Female,Single,Medical,3,2871,1. Under $3K,15,0,4,4 - Very High,2,3,3,3,No,15,0,1. 0-1 Years,0,0,0,1,1,3,5
51,4. Age 45-54,No,0,Research & Development,Healthcare Representative,3,Travel_Frequently,Female,Single,Medical,4,7484,3. $6K-$10K,20,0,1,1 - Low,1,3,2,2,No,1,13,5. 10+ Years,12,12,8,23,3,4,1
34,2. Age 25-34,Yes,1,Research & Development,Laboratory Technician,2,Travel_Frequently,Male,Single,Life Sciences,3,6074,3. $6K-$10K,24,0,3,3 - High,1,4,1,3,Yes,7,9,4. 5-10 Years,7,0,6,9,1,4,3
54,4. Age 45-54,No,0,Human Resources,Manager,4,Non-Travel,Female,Single,Human Resources,3,17328,4. Above $10K,12,0,4,4 - Very High,4,3,4,3,Yes,26,5,3. 3-5 Years,3,4,4,23,2,3,3
24,1. Under 25,No,0,Research & Development,Laboratory Technician,1,Travel_Rarely,Male,Married,Life Sciences,1,2774,1. Under $3K,12,1,3,3 - High,2,3,3,3,No,18,5,3. 3-5 Years,3,1,2,6,0,3,2
34,2. Age 25-34,No,0,Research & Development,Research Scientist,2,Travel_Rarely,Female,Divorced,Life Sciences,4,4505,2. $3K-$6K,15,1,2,2 - Medium,3,3,2,3,No,6,1,1. 0-1 Years,0,0,0,12,6,3,3
37,3. Age 35-44,No,0,Sales,Sales Executive,3,Travel_Rarely,Male,Single,Life Sciences,3,7428,3. $6K-$10K,12,0,4,4 - Very High,3,1,3,3,No,3,5,3. 3-5 Years,3,1,3,12,2,3,3
